"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Location Sales Volume Actual"
"Sam's Club Bakery","WALMART INC","Melissa","Morena","1006 N Rohlwing Rd","Addison","IL","60101","","Verified","$501,000"
"Sam's Club Bakery","WALMART INC","Linda M","Epperson","915 W Marketview Dr","Champaign","IL","61822","","Verified","$681,000"
"Sam's Club Bakery","WALMART INC","Bob","Kiser","2601 S Cicero Ave","Cicero","IL","60804","","Verified","$607,000"
"Sam's Club Bakery","WALMART INC","","","5670 Northwest Hwy","Crystal Lake","IL","60014","","Verified","$535,000"
"Sam's Club Bakery","WALMART INC","Linda M","Epperson","6570 Grand Ave","Gurnee","IL","60031","","Verified","$561,000"
"Sam's Club Bakery","WALMART INC","","","321 S Larkin Ave","Joliet","IL","60436","","Verified","$570,000"
"Sam's Club Bakery","WALMART INC","Linda M","Epperson","2151 Shepard Rd","Normal","IL","61761","","Verified","$536,000"
"Sam's Club Bakery","WALMART INC","Tom","Bromley","16100 Harlem Ave","Tinley Park","IL","60477","","Verified","$607,000"
"Sara Lee Frozen Bakery LLC","KOHLBERG & CO LLC","Craig","Bahner","1 Tower Ln # 500","Oakbrook Terrace","IL","60181","SARA LEE FROZEN BAKERY LLC","Verified","$858,000"
"Sauer's Bakery","","Debra","Sauer","788 W Army Trail Rd","Carol Stream","IL","60188","","Verified","$501,000"
"Serenity's Place Cafe & Bakery","","","","211 Westwood Dr","Park Forest","IL","60466","","Unverified","$655,000"
"Shelly Jeans Bakery & Food Svc","","Shelly","Jeans","13888 1745 North Ave","Wyanet","IL","61379","","Unverified","$805,000"
"Sweet Ambitions Bakery","","","","","Des Plaines","IL","60018","","Verified","$774,000"
"Sweet Connections Bakery","","Harre","Maximec","57 E Fullerton Ave","Addison","IL","60101","","Verified","$564,000"
"Taher Bakery & Grocery","","","","7216 W 90th Pl","Bridgeview","IL","60455","","Verified","$512,000"
"Tahoora Sweets & Bakery","","Saad","Shelia","2345 W Devon Ave","Chicago","IL","60659","","Verified","$728,000"
"TNT Bakery Consulting Inc","","Tomas","Tassy","120 Prairie Lake Rd # G","East Dundee","IL","60118","TNT BAKERY CONSULTING INC","Verified","$692,000"
"Tuzik's 95th Bakery Inc","","William P","Love","4955 W 95th St","Oak Lawn","IL","60453","TED TUZIK 95TH BAKERY INC","Unverified","$607,000"
"Wagner's Bakery","","Martin","Flores","2148 W Cermak Rd","Chicago","IL","60608","WAGNERS BAKERY INC","Verified","$607,000"
"Wake N Bakery Wake N Bakery","","Stephen","Golden","1659 W Division St","Chicago","IL","60622","","Verified","$789,000"
"Wake-N-Bakery","","","","3508 N Broadway St","Chicago","IL","60657","","Verified","$703,000"
"Walmart Bakery","WALMART INC","","","1050 N Rohlwing Rd","Addison","IL","60101","","Verified","$501,000"
"Walmart Bakery","WALMART INC","","","314 W Army Trail Rd","Bloomingdale","IL","60108","","Verified","$501,000"
"Walmart Bakery","WALMART INC","","","2225 W Market St","Bloomington","IL","61705","","Verified","$589,000"
"Walmart Bakery","WALMART INC","","","200 S Bolingbrook Dr","Bolingbrook","IL","60440","","Verified","$570,000"
"Walmart Bakery","WALMART INC","","","2080 N State Route 50","Bourbonnais","IL","60914","","Verified","$517,000"
"Walmart Bakery","WALMART INC","","","4650 W North Ave","Chicago","IL","60639","","Verified","$607,000"
"Walmart Bakery","WALMART INC","","","7535 S Ashland Ave","Chicago","IL","60620","","Verified","$789,000"
"Walmart Bakery","WALMART INC","","","1040 Collinsville Xing Blvd","Collinsville","IL","62234","","Verified","$651,000"
"Walmart Bakery","WALMART INC","","","1101 Belt Line Rd","Collinsville","IL","62234","","Verified","$596,000"
"Walmart Bakery","WALMART INC","","","4700 135th St","Crestwood","IL","60418","","Verified","$607,000"
"Walmart Bakery","WALMART INC","","","2189 75th St","Darien","IL","60561","","Verified","$501,000"
"Walmart Bakery","WALMART INC","","","801 Meacham Rd","Elk Grove Village","IL","60007","","Verified","$607,000"
"Walmart Bakery","WALMART INC","","","1300 Des Plaines Ave","Forest Park","IL","60130","","Verified","$607,000"
"Walmart Bakery","WALMART INC","Janet","Kuhl","12495 State Route 143","Highland","IL","62249","","Verified","$542,000"
"Walmart Bakery","WALMART INC","","","2424 W Jefferson St","Joliet","IL","60435","","Verified","$570,000"
"Walmart Bakery","WALMART INC","","","505 Riverstone Pkwy","Kankakee","IL","60901","","Verified","$517,000"
"Walmart Bakery","WALMART INC","Nancy","Spain","1730 E Jackson St","Macomb","IL","61455","","Verified","$586,000"
"Walmart Bakery","WALMART INC","","","3930 44th Avenue Dr # 1","Moline","IL","61265","","Verified","$705,000"
"Walmart Bakery","WALMART INC","","","930 Mount Prospect Plz","Mount Prospect","IL","60056","","Verified","$668,000"
"Walmart Bakery","WALMART INC","","","2552 W 75th St","Naperville","IL","60564","","Verified","$501,000"
"Walmart Bakery","WALMART INC","","","8500 W Golf Rd","Niles","IL","60714","","Verified","$546,000"
"Walmart Bakery","WALMART INC","Daniel","Melgar","300 Greenbriar Dr","Normal","IL","61761","","Verified","$750,000"
